"index","type","start","end","text"
"318","cue","00:26:21,364","00:26:23,034","Tetap tenang dan lakukan apa yang diperintahkan!"
"319","cue","00:26:23,157","00:26:25,260","Saya tidak dapat bertahan lagi.Saya butuh bantuan segera! Ganti!"
"320","cue","00:26:25,284","00:26:28,787","Mereka menghancurkan tank kitadengan infanteri dan peluru."
"321","cue","00:26:31,166","00:26:35,587","Saya belum pernah melihat yang seperti ini.Ini serangan gencar. Ganti."
"322","cue","00:26:35,712","00:26:39,174","Jarak dekat! Ribuantank ada di depan kami!"
"323","cue","00:26:39,299","00:26:42,886","Mereka menembaki kami!Mereka membantai kami! Ganti!"
"324","cue","00:26:43,011","00:26:45,305","Kami butuh bantuan..."
"325","cue","00:27:29,113","00:27:31,949","Kita kalah. Kita kehilangan wilayah utara."
"326","cue","00:27:36,287","00:27:39,290","Ini hari Kiamat.Kita kehilangan wilayah utara."
"327","cue","00:27:39,423","00:27:42,626","Saya memberi tahu Dimona.Senjata nuklir."
"328","cue","00:27:42,759","00:27:45,062","- Ya, itulah yang saya lakukan.- Apa?"
"329","cue","00:27:45,196","00:27:47,898","Kamu melakukan apa? Apakah kamu serius?"
"330","cue","00:27:48,733","00:27:50,302","Bawa Dado ke sini sekarang."
"331","cue","00:27:51,435","00:27:52,637","Ayo, Moshe."
"332","cue","00:27:52,770","00:27:53,970","Ini Masada yang lain, Golda."
"333","cue","00:27:54,072","00:27:55,372","Ikut denganku. Ayo. Kesana."
"334","cue","00:27:55,506","00:27:57,508","saya melihatnyadengan mataku sendiri. Aku bersumpah."
"335","cue","00:28:02,146","00:28:05,450","Kami kehilangan sekitar 80, 100 tank."
"336","cue","00:28:05,585","00:28:09,621","Seluruh Divisi hilang.Seketika."
"337","cue","00:28:09,753","00:28:13,325","Dalam segala ketulusan dan persahabatan,"
"338","cue","00:28:13,459","00:28:15,759","saya menawarkan Andapengunduran diri saya, Golda."
"339","cue","00:28:18,963","00:28:22,100","- Saya telah gagal.- Aku ingin kamu tegar."
"340","cue","00:28:24,670","00:28:26,104","Apakah kamu mengerti?"
"341","cue","00:28:27,573","00:28:28,873","Jangan melakukan hal ini lagi."
"342","cue","00:28:30,676","00:28:33,411","Pulang ke rumah. Cuci mukamu."
"343","cue","00:28:35,113","00:28:37,047","Dan keluarlah dari sini."
"344","cue","00:28:38,316","00:28:39,317","Pergilah!"
"345","cue","00:29:11,182","00:29:12,418","Apa yang sedang terjadi?"
"346","cue","00:29:12,552","00:29:14,953","Sudahkah Anda menghancurkan jembatandi seberang sungai Yordan?"
"347","cue","00:29:15,987","00:29:17,658","Bagaimana tentara cadangan kitapergi ke Golan"
"348","cue","00:29:17,790","00:29:19,559","tanpa jembatan?"
"349","cue","00:29:19,693","00:29:22,795","Dia ingin menggunakansenjata nuklir."
"350","cue","00:29:24,665","00:29:25,898","Apakah dia sudah gila?"
"351","cue","00:29:26,667","00:29:27,899","Dayan..."
"352","cue","00:29:30,102","00:29:31,571","Dayan sudah selesai."
"353","cue","00:29:32,638","00:29:34,240","Jangan menerima perintah darinya."
"354","cue","00:29:34,373","00:29:36,942","Anda memegang kendali penuh sekarang."
"355","cue","00:29:44,651","00:29:46,052","Kami mengalami malam yang buruk."
"356","cue","00:29:48,087","00:29:50,657","Suriah telah menghancurkan pertahanankami dengan banyak tank,"
"357","cue","00:29:50,791","00:29:53,560","tapi entah kenapa,mereka belum maju terus."
"358","cue","00:29:53,694","00:29:54,960","Mungkin mereka kekurangan bahan bakar"
"359","cue","00:29:55,094","00:29:56,731","atau mereka tidak mendapat perintah,Aku tidak tahu."
"360","cue","00:29:56,863","00:29:58,231","Ini memberi kami ruang bernapas."
"361","cue","00:29:58,365","00:29:59,733","Saya sudah menginstruksikan angkatan udara"
"362","cue","00:29:59,865","00:30:01,233","untuk membawa pesawat dari selatan."
"363","cue","00:30:01,368","00:30:03,208","Mereka mendapat perintah untuk menyerangapapun yang bergerak."
"364","cue","00:30:03,303","00:30:06,405","Situasinya sulit."
"365","cue","00:30:06,540","00:30:08,508","Tapi pasukan ke-679 berjuang keras."
"366","cue","00:30:08,643","00:30:11,177","Mereka tentara-tentara yang tangguh. Mereka tidak akanmengecewakan negaranya."
"367","cue","00:30:11,310","00:30:14,181","Sekarang, di front Mesir..."
"368","cue","00:30:16,350","00:30:19,554","kita gagal untuk menghentikanmusuh melintasi kanal."
"369","cue","00:30:19,687","00:30:22,624","Tank kami datang terlambatdan dalam jumlah yang terlalu sedikit."
"370","cue","00:30:22,758","00:30:25,859","Orang Mesir telah membangunpeluncur rudal SAM"
"371","cue","00:30:25,992","00:30:27,761","dan Angkatan Udara kitatelah terkena pukulan yang sangat keras."
"372","cue","00:30:27,893","00:30:29,329","Berapa banyak Jet Phantom yang hilang?"
"373","cue","00:30:29,463","00:30:31,331","Sekitar 30 pesawat."
"374","cue","00:30:31,465","00:30:33,100","Lima puluh awak pesawat tewas atau hilang."
"375","cue","00:30:33,233","00:30:34,536","Dan tentara?"
"376","cue","00:30:34,670","00:30:37,371","170 orang tentara pastinya,mungkin lebih."
"377","cue","00:30:37,504","00:30:38,806","Yang paling mendesak,"
"378","cue","00:30:38,939","00:30:41,975","Posisi terkuat kitadikepung."
"379","cue","00:30:42,109","00:30:44,344","Sekitar 600 tentara,"
"380","cue","00:30:44,478","00:30:47,180","kebanyakan dari mereka pasukan cadangan,terjebak."
"381","cue","00:30:50,417","00:30:51,953","Mengapa mereka tidak dievakuasi?"
"382","cue","00:30:52,086","00:30:54,522","Jenderal Gonen memberitahu merekauntuk bertarung sampai akhir."
"383","cue","00:30:54,656","00:30:57,959","Orang Mesirberusaha menembus garis ini."
"384","cue","00:30:58,092","00:31:00,160","Gonen sedang bersiapserangan balik."
"385","cue","00:31:00,293","00:31:02,230","Sharon menuju ke selatan."
"386","cue","00:31:02,363","00:31:05,198","Rencananya untuk mengurangi kekuatanposisinya"
"387","cue","00:31:05,332","00:31:08,336","dan mengusir orang Mesir kembalimelintasi kanal."
"388","cue","00:31:09,137","00:31:11,239","Anda akan menyelamatkan tentara-tentara ini."
"389","cue","00:31:18,345","00:31:20,515","- Golda.- Kamu kembali."
"390","cue","00:31:20,649","00:31:22,884","- Ada lagi dari temanmu?- Dia di Kairo."
"391","cue","00:31:23,016","00:31:24,686","Orang Mesir melintasi kanal?"
"392","cue","00:31:25,854","00:31:27,756","Dado sedang merencanakanserangan balik."
"393","cue","00:31:28,590","00:31:30,660","Itulah yang mereka harapkan."
"394","cue","00:31:30,794","00:31:32,260","Kita akan masuk ke dalam jebakan."
"395","cue","00:31:34,962","00:31:38,199","Tapi ada 400 tentaraterjebak di dalam benteng."
"396","cue","00:31:39,367","00:31:41,436","Orang-orang Mesir akan menunggu."
"397","cue","00:31:41,570","00:31:43,639","Kamu harus menghentikanserangan ini, Golda."
"398","cue","00:31:46,643","00:31:50,045","saya tidak membuatkeputusan militer."
"399","cue","00:31:50,178","00:31:52,147","Tapi, Golda, itu sama saja dengan bunuh diri!"
"400","cue","00:31:52,281","00:31:54,383","Saya seorang politisi, bukan tentara."
"401","cue","00:31:54,516","00:31:56,585","Golda, Golda. Tolong, aku tidak bisa..."
"402","cue","00:31:59,353","00:32:01,623","Apa-apaanyang kamu inginkan dariku?"
"403","cue","00:32:06,161","00:32:07,764","Golda!"
"404","cue","00:32:07,897","00:32:09,198","Golda, kamu baik-baik saja?"
"405","cue","00:32:09,331","00:32:11,366","Bernapaslah, Golda. Tolong, bernapaslah."
"406","cue","00:32:13,101","00:32:14,704","Apakah kamu ingin minum sesuatu?"
"407","cue","00:32:17,806","00:32:19,742","Musuh telah merasakan darah."
"408","cue","00:32:21,477","00:32:24,146","Tidak ada alasanagar mereka berhenti sekarang."
"409","cue","00:32:25,047","00:32:27,983","Ini tahun 1948 lagi."
"410","cue","00:32:29,485","00:32:32,054","Kita berjuang untuk hidup kita."
"411","cue","00:32:33,656","00:32:36,693","Jika orang Amerikamelemparkan kita ke anjing-anjing itu,"
"412","cue","00:32:36,826","00:32:39,394","dan orang-orang Arab mencapai Tel Aviv,"
"413","cue","00:32:40,462","00:32:42,666","Saya tidak akan ditangkap hidup-hidup."
"414","cue","00:32:46,201","00:32:48,739","Dan kamu harus melakukannyapastikan itu."
"415","cue","00:32:51,507","00:32:53,711","Orang Amerika,mereka tidak akan mengecewakan kita."
"416","cue","00:32:58,080","00:32:59,315","Mengapa tidak?"
"417","cue","00:33:00,250","00:33:02,285","Karena Anda tidak akan membiarkan hal itu terjadi."
"418","cue","00:33:11,361","00:33:13,495","Maaf, tapi kamu belum mati."
"419","cue","00:33:13,630","00:33:16,466","Hmm. Hidup dan menendang."
"420","cue","00:33:55,674","00:33:57,141","Apa yang sedang kita dengar ini?"
"421","cue","00:33:57,274","00:33:59,376","Pasukan kita di kanal.Mereka dikepung."
"422","cue","00:33:59,510","00:34:02,379","Ini bentengnyadi mana tentara-tentara itu terjebak."
"423","cue","00:34:02,513","00:34:04,414","Bren dan Divisi tanknya akan melakukannya"
"424","cue","00:34:04,548","00:34:06,651","maju terus melintasi dataran ini,"
"425","cue","00:34:06,785","00:34:09,218","menghancurkan garis Mesir"
"426","cue","00:34:09,352","00:34:11,221","dan menghilangkan kekuatannya."
"427","cue","00:34:12,122","00:34:13,892","Serangan balik dimulai."
"428","cue","00:34:14,970","00:34:16,431","Pindah. Seberangi dataran."
"429","cue","00:34:16,556","00:34:19,308","Bergerak cepat. Jangan membuat dirimu sendirisasaran empuk."
"430","cue","00:34:19,934","00:34:22,812","Mari kita menakuti mereka.Hancurkan apa pun yang bergerak."
"431","cue","00:34:22,937","00:34:27,525","Kami bergerak cepat.Mengapa mereka tidak menembak?"
"432","cue","00:34:29,401","00:34:32,321","Apa itu tadi? Apakah itu tank?"
"433","cue","00:34:32,447","00:34:34,908","Ini bukan tank. Dimana itu?"
"434","cue","00:34:35,033","00:34:36,992","Saya bisa melihat benteng kitadi kanal."
"435","cue","00:34:37,117","00:34:39,412","- Apakah ada yang melihatnya?- Menurutku itu kekuatan kita."
"436","cue","00:34:39,538","00:34:42,206","Itu bukan milik kita dan bukan tank.Aku bisa mendengar peluitnya."
"437","cue","00:34:42,331","00:34:44,376","- Apa itu?- Itu bukan berasal dari tank."
"438","cue","00:34:44,501","00:34:46,293","- Ini RPG.- Dari mana asalnya?"
"439","cue","00:34:46,418","00:34:47,962","Saya tidak dapat melihat apa pun."
"440","cue","00:34:48,087","00:34:50,048","Saya telah ditembak. Saya telah ditembak.Tankku terkena serangan!"
"441","cue","00:34:50,173","00:34:51,591","Itu rudal Sagger."
"442","cue","00:34:51,716","00:34:54,302","Ini penyergapan.Mereka menutupi seluruh area."
"443","cue","00:34:54,427","00:34:56,721","Masukkan peluru! Selaluada peluru di dalam chamber."
"444","cue","00:34:56,847","00:34:57,847","Kami diserang."
"445","cue","00:34:57,889","00:34:59,807","Kita hancur."
"446","cue","00:35:03,936","00:35:07,482","Mundur, mundur! Saggersditembakan tanpa henti. Mundur."
"447","cue","00:35:12,113","00:35:13,613","Ratusan Saggerstelah ditembakan."
"448","cue","00:35:13,738","00:35:16,199","Kami berada di garis tembak!Mundur!"
"449","cue","00:35:16,324","00:35:19,035","Ini komandan.Tembak mereka kembali!"
"450","cue","00:35:19,160","00:35:21,079","Apa yang kamu tunggu?"
"451","cue","00:35:21,204","00:35:22,914","Saya tidak bisa menembak!Pelurunya macet!"
"452","cue","00:35:23,039","00:35:24,124","Pelurunya macet!"
"453","cue","00:35:24,249","00:35:27,043","Ini komandan.Tidak ada yang mundur."
"454","cue","00:35:27,168","00:35:28,504","Kembali ke posisi Anda"
"455","cue","00:35:28,629","00:35:31,215","dan balas menyerang mereka!Apakah itu jelas?"
"456","cue","00:35:31,340","00:35:33,509","Seluruh bagian saya terluka.Kami tidak punya peluang."
"457","cue","00:35:33,634","00:35:36,386","Sangat penting bagi kita untuk mengamankan jalurnya.Jangan mundur."
"458","cue","00:35:36,511","00:35:40,141","Ini perintah.Saya ulangi, jangan mundur!"
"459","cue","00:35:40,474","00:35:43,018","Saya ingin bala bantuanjika itu mungkin. Ganti."
"460","cue","00:35:43,143","00:35:45,980","Ini Tiga.Musuh telah menyusup..."
"461","cue","00:35:49,650","00:35:51,360","Ini komandan."
"462","cue","00:35:51,485","00:35:55,030","Tahan posisi dan amankangaris itu segera. Ganti."
"463","cue","00:35:55,155","00:35:56,991","Komandan regu saya sudah mati."
"464","cue","00:35:57,116","00:35:59,951","Adar sudah mati.aku me... aku meninggalkan..."
"465","cue","00:36:00,076","00:36:01,454","Tolong kirimkan bantuan kepada kami!"
"466","cue","00:36:01,579","00:36:04,081","Aku... aku tidak ingin mati..."
"467","cue","00:36:04,498","00:36:08,544","Aku ingin... Aku ingin pulang!aku ingin pergi pul..."
"468","cue","00:36:18,804","00:36:20,681","Zionis sudah mati."
"469","cue","00:36:20,806","00:36:23,017","Kita memegang kendali penuhdari daerah ini."
"470","cue","00:38:59,249","00:39:01,751","Kalau kamu cemas,bicaralah, Golda."
"471","cue","00:39:10,761","00:39:13,395","Ayo, aku akan membuatkan kitaminum kopi lagi, oke?"
"472","cue","00:39:25,308","00:39:26,944","Apa kabarmu?"
"473","cue","00:39:28,345","00:39:30,480","- Baik.- Kamu mau masuk?"
"474","cue","00:39:33,217","00:39:34,417","Aku butuh kamu."
"475","cue","00:39:39,290","00:39:40,522","Saya akan berada disana."
"476","cue","00:40:01,511","00:40:03,614","Ayo, Moshe. Duduk."
"477","cue","00:40:05,784","00:40:10,889","Saya kehilangan 13 jet Phantom lainnyadan 9 jet Skyhawk."
"478","cue","00:40:11,022","00:40:12,390","Sebelas pilot tewas."
"479","cue","00:40:12,523","00:40:14,291","Dalam situasi ini,"
"480","cue","00:40:14,425","00:40:16,928","tiga, mungkin empat hari lagiaku keluar dari pertarungan."
"481","cue","00:40:22,300","00:40:25,870","Apa yang terjadi pada Sharondan serangan melambungnya?"
"482","cue","00:40:26,004","00:40:27,672","Dia berkendara mengelilingi gurunsepanjang sore"
"483","cue","00:40:27,806","00:40:30,141","dengan 30 fotografer di belakangnya."
"484","cue","00:40:30,275","00:40:33,078","- Dia tidak melepaskan tembakan.- Orang itu."
"485","cue","00:40:33,211","00:40:34,546","Dan Bren?"
"486","cue","00:40:34,679","00:40:37,480","Divisinya hampir hancur."
"487","cue","00:40:38,917","00:40:40,885","Kami masih punya, eh, 400 tentara"
"488","cue","00:40:41,019","00:40:43,089","terjebak di dalam bentengsepanjang kanal."
"489","cue","00:40:43,222","00:40:44,790","Kami sedang mengerjakanrencana penyelamatan baru."
"490","cue","00:40:44,923","00:40:46,825","- Orang Mesir tahu itu.- Tidak ada yang tertinggal."
"491","cue","00:40:46,958","00:40:49,663","- Ini jebakan.- Tidak ada yang tertinggal, Zvika!"
"492","cue","00:40:52,063","00:40:54,632","Apa intinyamempertaruhkan lebih banyak nyawa?"
"493","cue","00:40:54,766","00:40:57,068","Mari kita jujur pada diri kita sendiri."
"494","cue","00:40:57,202","00:40:59,905","Jika kita mengirim misi penyelamatan,tujuannya adalah"
"495","cue","00:41:00,039","00:41:04,309","untuk menyelamatkan reputasi kitasebanyak menyelamatkan tentara-tentara itu."
"496","cue","00:41:04,442","00:41:07,179","Jadi, apa pilihan kita?"
"497","cue","00:41:08,913","00:41:11,817","Sharon ingin menyeberangi kanal"
"498","cue","00:41:11,951","00:41:13,585","dan menyergap dari belakang."
"499","cue","00:41:13,718","00:41:15,020","Apakah itu akan berhasil?"
"500","cue","00:41:17,823","00:41:19,392","Orang Mesir memiliki Dua Divisi"
"501","cue","00:41:19,524","00:41:21,260","di Tepi Barat menunggu."
"502","cue","00:41:21,394","00:41:22,561","Dia akan musnah."
"503","cue","00:41:22,695","00:41:24,130","Apa posisinya?di Golan?"
"504","cue","00:41:24,263","00:41:26,600","Kami memukul mundur mereka kembalike garis gencatan senjata."
"505","cue","00:41:26,731","00:41:28,601","Orang Suriah hampir kalah."
"506","cue","00:41:28,734","00:41:30,436","Bisakah kamu mengalahkan mereka kembali lebih jauh,"
"507","cue","00:41:30,569","00:41:31,870","menuju Damaskus?"
"508","cue","00:41:32,704","00:41:34,240","Jika kita bisa membuat Assad panik,"
"509","cue","00:41:34,373","00:41:37,977","dia akan memberikan tekanan pada Sadatuntuk menyerang lagi."
"510","cue","00:41:38,110","00:41:41,614","Mengekspos tanknyadi tempat terbuka."
"511","cue","00:41:43,549","00:41:44,952","Dado, bagaimana menurutmu?"
"512","cue","00:41:45,651","00:41:48,054","Orang-orang Mesir sudah bertahan dengan baik."
"513","cue","00:41:48,187","00:41:50,556","Mereka tidak akan meninggalkanposisi mereka."
"514","cue","00:41:50,689","00:41:53,192","- Sadat mendapat kemenangannya.- Ya."
"515","cue","00:41:54,627","00:41:55,829","Tetapi..."
"516","cue","00:41:57,097","00:41:58,697","apakah dia mengetahuinya?"
"517","cue","00:42:01,268","00:42:04,703","Saya ingin Anda mengebompinggiran Damaskus, Benny."
"518","cue","00:42:04,837","00:42:08,274","- Buat Assad benar-benar marah.- Aku butuh lebih banyak pesawat."
"519","cue","00:42:08,407","00:42:11,310","Tolong hubungi Kissinger,lewat telepon."
"520","cue","00:42:15,315","00:42:16,516","Bergembiralah, Moshe."
"521","cue","00:42:16,650","00:42:18,752","- Segalanya bisa menjadi lebih buruk.- Bagaimana?"
"522","cue","00:42:18,885","00:42:21,121","Anda bisa menggantikan saya."
"523","cue","00:42:22,789","00:42:24,291","<i>Saya mengerti,</i>"
"524","cue","00:42:24,424","00:42:26,184","<i>tapi Presidenberada dalam posisi yang sulit.</i>"
"525","cue","00:42:26,226","00:42:27,860","<i>Musim dingin akan tiba.Jika Saudi...</i>"
"526","cue","00:42:27,993","00:42:30,330","Rusia memulai pengangkutan udara besar-besaran."
"527","cue","00:42:30,464","00:42:34,902","Kami melihat pesawat mengalirke Kairo dan Damaskus."
"528","cue","00:42:35,036","00:42:37,904","Kami telah kehilangan 500 tank"
"529","cue","00:42:38,038","00:42:40,074","dan sepertiga Angkatan Udara."
"530","cue","00:42:40,209","00:42:41,441","Lima ratus?"
"531","cue","00:42:41,576","00:42:44,111","<i>Ya. Dan 30 jet Phantom.</i>"
"532","cue","00:42:44,244","00:42:46,279","<i>Aku bisa saja meluncurkanserangan pendahuluan</i>"
"533","cue","00:42:46,413","00:42:49,349","<i>tapi aku tidak melakukannya,untuk menyelamatkan mukamu.</i>"
"534","cue","00:42:49,483","00:42:51,752","Keputusan itu sangat merugikan kami."
"535","cue","00:42:53,955","00:42:55,990","<i>Watergate sedang menghantuiWashington</i>"
"536","cue","00:42:56,124","00:42:58,627","<i>seperti badai api, Golda.Nixon seperti bebek yang timpang.</i>"
"537","cue","00:42:58,760","00:43:01,027","Tapi kamu tidak."
"538","cue","00:43:04,531","00:43:05,699","<i>Golda...</i>"
"539","cue","00:43:05,832","00:43:08,136","Apakah itu akan membantujika saya datang ke Washington?"
"540","cue","00:43:08,269","00:43:11,607","<i>Kau ingin terbang ke sini?Saat perang?</i>"
"541","cue","00:43:11,739","00:43:13,007","Ya."
"542","cue","00:43:13,141","00:43:16,544","<i>Golda,itu akan menimbulkan masalah.</i>"
"543","cue","00:43:16,677","00:43:19,514","<i>Komunitas Yahudi di siniakan khawatir.</i>"
"544","cue","00:43:19,647","00:43:22,015","Hmm! Tanpa keraguan."
"545","cue","00:43:22,149","00:43:24,418","<i>Jika orang Arab mengalahkan kitadengan senjata Soviet,</i>"
"546","cue","00:43:24,553","00:43:28,089","<i>pesan apa yang dikirimkannyake Dunia Bebas, Henry?</i>"
"547","cue","00:43:30,859","00:43:34,028","<i>Aku punya beberapa jet Phantom untukmu.</i>"
"548","cue","00:43:38,266","00:43:39,467","Terima kasih."
"549","cue","00:43:39,601","00:43:41,402","<i>Selamat malam, Golda.</i>"
"550","cue","00:43:41,536","00:43:44,338","<i>Israel tidak sabar...</i>"
"551","cue","00:43:45,607","00:43:48,911","<i>agar, eh, debunya mengendap.</i>"
"552","cue","00:43:49,044","00:43:50,411","<i>Dan orang-orang Arab tidak sabar</i>"
"553","cue","00:43:50,545","00:43:52,948","<i>agar debunya mengendapdi Timur Tengah.</i>"
"554","cue","00:43:53,081","00:43:56,184","<i>Eh, kedua belah pihak bersalah.</i>"
"555","cue","00:43:56,317","00:44:00,755","<i>Kedua belah pihak perlu melakukanmulai bernegosiasi.</i>"
"556","cue","00:44:00,888","00:44:02,391","<i>Itulah posisi kami.</i>"
"557","cue","00:44:02,524","00:44:05,194","<i>Kami tidak pro-Israeldan kami tidak pro-Arab.</i>"
"558","cue","00:44:05,327","00:44:07,763","<i>Dan kita tidak lagipro-Arab karena mereka punya minyak</i>"
"559","cue","00:44:07,896","00:44:09,364","<i>dan Israel belum.</i>"
"560","cue","00:44:09,498","00:44:11,466","<i>Kami pro perdamaian.</i>"
"561","cue","00:44:11,601","00:44:13,603","<i>Dan itulah ketertarikandari seluruh area</i>"
"562","cue","00:44:13,735","00:44:17,338","<i>bagi kita untuk mendapatkannegosiasi di titik mati</i>"
"563","cue","00:44:17,471","00:44:18,874","<i>dan itulah alasan</i>"
"564","cue","00:44:19,007","00:44:20,051","<i>kami akan menggunakan pengaruh kami...</i>"
"565","cue","00:44:20,075","00:44:21,510","<i>dengan Israel,</i>"
"566","cue","00:44:21,644","00:44:23,721","<i>dan kami akan menggunakan pengaruh kami,pengaruh apa yang kita miliki,</i>"
"567","cue","00:44:23,745","00:44:26,348","<i>dengan berbagai negara Arab...</i>"
"568","cue","00:44:26,481","00:44:29,218","Ini akan menjadi jam 5:30.5:30."
"569","cue","00:44:32,622","00:44:33,889","Hmm."
"570","cue","00:44:35,924","00:44:37,726","- Ya.- Jenderal Sharon,"
"571","cue","00:44:37,859","00:44:39,161","ini suatu kehormatan."
"572","cue","00:44:41,599","00:44:45,100","Foto-foto ini diambiltiga jam yang lalu"
"573","cue","00:44:45,234","00:44:47,170","oleh salah satu pengintaikudi kanal."
"574","cue","00:44:47,303","00:44:50,339","Kami telah menemukan celahdi garis Mesir, di sini."
"575","cue","00:44:50,472","00:44:52,342","Tepat di utaraDanau Great Bitter."
"576","cue","00:44:52,475","00:44:54,910","Tentara Mesir Keduaada di sini, di utara."
"577","cue","00:44:55,043","00:44:57,312","Tentara Ketiga,di sini di selatan."
"578","cue","00:44:57,446","00:45:00,450","Di tengah-tengah,kanal tidak terlindungi."
"579","cue","00:45:00,584","00:45:04,220","Saya punya rakit bermotorcukup besar untuk membawa tank."
"580","cue","00:45:04,354","00:45:08,123","Saya bisa memiliki 50 tankdi Tepi Barat sebelum fajar."
"581","cue","00:45:08,257","00:45:11,461","Saya menekan ke utara, menyebarkan kepanikan."
"582","cue","00:45:13,128","00:45:15,832","- Siapa yang mau kopi? Hmm.- Terima kasih."
"583","cue","00:45:17,300","00:45:19,570","Um, maafkan ketidaktahuanku."
"584","cue","00:45:19,703","00:45:21,538","Apakah arti simbol ini?"
"585","cue","00:45:21,672","00:45:25,276","Divisi 4 dan 21 Mesir."
"586","cue","00:45:25,409","00:45:28,244","Mereka berada di tepi baratkanal yang menunggu untuk dilintasi."
"587","cue","00:45:28,378","00:45:30,013","Ya. Aku ingat."
"588","cue","00:45:31,781","00:45:33,316","Jadi, Arik."
"589","cue","00:45:33,449","00:45:38,757","Anda ingin menyeberangi kanaldengan 50 tank dan 2.000 orang"
"590","cue","00:45:38,889","00:45:41,024","dan ingin mengalahkan dua Divisi."
"591","cue","00:45:41,157","00:45:45,428","Saya yakin itu berarti 600 tankdan 30.000 orang."
"592","cue","00:45:45,562","00:45:47,632","- Apakah itu rencanamu?- Kita kehilangan orang."
"593","cue","00:45:47,766","00:45:50,433","Setiap hari, kita kehilangan orang"
"594","cue","00:45:50,567","00:45:53,971","dan mesin tanpamemperbaiki posisi kita."
"595","cue","00:45:54,104","00:45:57,174","Dado, apakah penyeberangan akan berhasil?"
"596","cue","00:45:57,308","00:45:58,777","Aku meragukan itu."
"597","cue","00:45:58,909","00:46:00,311","Dan itu mungkin sajaberujung pada bencana."
"598","cue","00:46:00,444","00:46:01,979","Demi Tuhan."
"599","cue","00:46:03,114","00:46:05,282","Moshe, katakan sesuatu."
"600","cue","00:46:05,416","00:46:07,518","Tidak ada yang meragukankeberanianmu, Arik,"
"601","cue","00:46:07,652","00:46:08,851","tapi Dado benar."
"602","cue","00:46:08,985","00:46:11,322","Jika Anda menyeberang,kamu akan hancur."
"603","cue","00:46:11,455","00:46:13,658","Tidak akan ada seorang pun yang tersisauntuk menghentikan orang-orang Arab."
"604","cue","00:46:13,792","00:46:16,261","Tidak tidak! Kita harus menyerang sekarang."
"605","cue","00:46:18,262","00:46:19,830","Saya punya berita."
"606","cue","00:46:19,963","00:46:22,767","Orang Mesir akan memperbaruiofensif mereka dalam waktu dua hari."
"607","cue","00:46:22,900","00:46:25,536","Divisi 4 dan 21akan melintasi kanal"
"608","cue","00:46:25,670","00:46:27,338","dan bergabung dalam serangan itu."
"609","cue","00:46:27,471","00:46:31,843","Jika mereka menyeberang,Kairo tidak akan terlindungi."
"610","cue","00:46:31,976","00:46:33,612","Tidak ada orang yang sebodoh itu."
"611","cue","00:46:33,746","00:46:35,913","Orang Mesir membuat kesalahan besar."
"612","cue","00:46:36,046","00:46:38,249","Saya sarankan kita membiarkan mereka melakukannya."
"613","cue","00:46:38,383","00:46:41,485","Tampaknyakeputusan yang konyol."
"614","cue","00:46:41,619","00:46:45,856","Tidak, menurutku tidak."
"615","cue","00:46:45,989","00:46:50,195","Sadat pemimpin Arab pertamayang mengalahkan orang-orang Yahudi dalam pertempuran."
"616","cue","00:46:50,995","00:46:53,031","Jadi dia merasa gembira."
"617","cue","00:46:54,600","00:46:55,967","Tak terkalahkan."
"618","cue","00:46:56,101","00:46:57,369","Apakah menurut Anda beberapa bukit pasir"
"619","cue","00:46:57,502","00:46:59,203","sepanjang Terusan Suezsepertinya sudah cukup"
"620","cue","00:46:59,337","00:47:01,473","ketika gerbang Yerusalemmemberi isyarat?"
"621","cue","00:47:02,874","00:47:04,341","Mengetahui kapan Anda kalahitu gampang."
"622","cue","00:47:04,475","00:47:07,780","Mengetahui kapan Anda menangitu yang sulit. Hmm!"
"623","cue","00:47:07,912","00:47:09,514","Kita akan menunggu mereka menyeberang."
"624","cue","00:47:09,648","00:47:11,651","- Terima kasih, Bapak-bapak.- Mmm-hmm."
"625","cue","00:47:18,624","00:47:19,625","Arik."
"626","cue","00:47:20,760","00:47:22,093","Anda akan mendapatkan kesempatan Anda."
"627","cue","00:47:22,227","00:47:24,996","Dan untuk itu, mereka akanmenjadikanmu Perdana Menteri."
"628","cue","00:47:26,699","00:47:30,637","Ingat saja, semuanya bersifat politiskarir berakhir dengan kegagalan."
"629","cue","00:47:31,536","00:47:33,339","Hmm!"
"630","cue","00:48:58,258","00:49:00,060","Saya tidak akan hidup lama lagi."
"631","cue","00:49:04,866","00:49:07,235","Anda menjaga diri sendiri."
"632","cue","00:49:19,748","00:49:22,783","Aku bukan berbicara denganmusebagai atasanmu."
"633","cue","00:49:24,686","00:49:29,323","Kamu keluarga bagiku.Kamu mengerti aku?"
"634","cue","00:49:39,995","00:49:41,830","Berdasarkanperjanjian Jenewa,"
"635","cue","00:49:41,955","00:49:44,040","kedua pihakharus memberikan informasi"
"636","cue","00:49:44,166","00:49:45,792","tentang tawanan perang mereka."
"637","cue","00:49:45,917","00:49:48,118","Propaganda dari negara-negara Arab..."
"638","cue","00:49:48,142","00:49:51,102","Putra Shir hilang... sangat terungkapsedikit tentang jumlah tahanan"
"639","cue","00:49:51,590","00:49:53,049","dan orang hilang."
"640","cue","00:49:58,219","00:49:59,219","Saya akan berbicara dengannya."
"641","cue","00:49:59,287","00:50:00,321","Tidak tidak. Tidak sekarang."
